repo_name,created_at,age,pull_requests,releases,updated_at,language,open_issues,closed_issues,closed_issues_percent
prometheus,2012-11-24T11:14:12Z,12,0,0,2024-08-25T19:56:20Z,Go,902,0,0.0
leetcode,2018-03-30T09:13:51Z,6,0,0,2024-08-25T16:59:41Z,JavaScript,7,0,0.0
DeepLearning-500-questions,2018-06-27T06:36:45Z,6,0,0,2024-08-25T15:17:11Z,JavaScript,117,0,0.0
element,2016-09-03T06:19:26Z,8,0,0,2024-08-24T13:47:47Z,Vue,2822,0,0.0
new-pac,2016-03-23T08:43:36Z,8,0,0,2024-08-25T19:40:34Z,,389,0,0.0
nuxt,2016-10-26T11:18:47Z,8,0,0,2024-08-25T21:57:07Z,TypeScript,831,0,0.0
sherlock,2018-12-24T14:30:48Z,6,0,0,2024-08-25T21:47:19Z,Python,205,0,0.0
localstack,2016-10-25T23:48:03Z,8,0,0,2024-08-25T20:38:48Z,Python,344,0,0.0
act,2019-01-02T19:53:43Z,5,0,0,2024-08-25T21:28:23Z,Go,198,0,0.0
nerd-fonts,2014-12-05T04:31:17Z,10,0,0,2024-08-25T19:44:48Z,CSS,30,0,0.0
private-gpt,2023-05-02T09:15:31Z,1,0,0,2024-08-25T21:56:23Z,Python,225,0,0.0
annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,4,0,0,2024-08-25T17:17:48Z,Python,28,0,0.0
awesome-flutter,2017-05-07T11:45:27Z,7,0,0,2024-08-25T21:38:22Z,Dart,22,0,0.0
react-router,2014-05-16T22:22:51Z,10,0,0,2024-08-25T22:01:08Z,TypeScript,108,0,0.0
face_recognition,2017-03-03T21:52:39Z,7,0,0,2024-08-25T21:33:55Z,Python,784,0,0.0
normalize.css,2011-05-04T10:20:25Z,13,0,0,2024-08-25T20:04:08Z,CSS,74,0,0.0
rustlings,2015-09-15T02:25:18Z,9,0,0,2024-08-25T21:46:36Z,Rust,26,0,0.0
scrapy,2010-02-22T02:01:14Z,14,0,0,2024-08-25T20:42:34Z,Python,669,0,0.0
ChatGPT,2022-12-07T09:43:02Z,2,0,0,2024-08-25T21:57:52Z,Rust,716,0,0.0
awesome-chatgpt-prompts-zh,2022-12-12T01:55:03Z,2,0,0,2024-08-25T19:36:08Z,,40,0,0.0
Real-Time-Voice-Cloning,2019-05-26T08:56:15Z,5,0,0,2024-08-25T21:33:54Z,Python,207,0,0.0
requests,2011-02-13T18:38:17Z,13,0,0,2024-08-25T21:00:33Z,Python,243,0,0.0
open-interpreter,2023-07-14T07:10:44Z,1,0,0,2024-08-25T21:13:22Z,Python,200,0,0.0
gpt-engineer,2023-04-29T12:52:15Z,1,0,0,2024-08-25T20:37:08Z,Python,13,0,0.0
git,2008-07-23T14:21:26Z,16,0,0,2024-08-25T21:01:40Z,C,192,0,0.0
AppFlowy,2021-06-16T12:56:48Z,3,0,0,2024-08-25T20:42:41Z,Dart,876,0,0.0
